Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Calypso AI,calypsoai.com,"Calypso AI specializes in providing a secure, scalable, and model-agnostic platform for AI security and orchestration within various industries. The company offers solutions for real-time vulnerability scanning, risk protection, and insights into AI model performance, as well as tools for managing regulatory compliance and AI-related costs. CalypsoAI's platform serves the financial services, technology, and pharmaceutical sectors, among others. It was founded in 2018 and is based in San Mateo, California.","B2B, B2G, SaaS",Security Software,,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech",AI security (Enterprise Tech),552,3: Deploying,0.70%,2.67%,United States,38.20,"8VC, Cyber Mentor Fund, Day One Ventures, Frontline Ventures, K50 Ventures, Lightspeed Venture Partners, Expeditions Fund, Lockheed Martin Ventures, Manta Ray Ventures, Paladin Capital Group, Pallas Ventures, Esri Startup Program, Anne Wojcicki, Auren Hoffman, Hakluyt Capital, Susan Wojcicki",23.00,Series A - II,2023-06-27,,0%,Alive / Active,2018,,
Cranium,cranium.ai,"Cranium focuses on AI security within the cybersecurity and artificial intelligence sectors. The company offers a platform that helps organizations secure their AI and machine learning systems, ensuring compliance and trustworthiness without disrupting existing workflows. Cranium primarily serves sectors that require stringent AI compliance and security measures, such as healthcare and finance. It was founded in 2022 and is based in Short Hills, New Jersey.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",AI security (Enterprise Tech),761,3: Deploying,0.46%,21.09%,United States,51.65,"KPMG Studio, KPMG, SYN Ventures, Titanium Ventures, York IE",19.65,Series A - II,2023-10-30,43,0%,Alive / Active,2022,,
WitnessAI,witness.ai,"WitnessAI focuses on AI security and governance within the enterprise software industry. The company offers a platform that provides monitoring, policy enforcement, and protection for AI applications in business environments. WitnessAI primarily serves sectors that require robust AI security and governance solutions. It was founded in 2023 and is based in San Mateo, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",AI security (Enterprise Tech),726,2: Validating,0.44%,3.26%,United States,27.50,"Ballistic Ventures, Google Ventures",27.50,Series A,2024-05-21,18,0%,Alive / Active,2023,,
Protect AI,protectai.com,"Protect AI develops cybersecurity solutions focused on the security of artificial intelligence and machine learning systems. It specializes in MLSecOps, cybersecurity and develops tools to harden the security of systems. Its tool, AI Radar, delivers visibility into the various components used to build a model, including the data used for training, testing datasets and code. The company was founded in 2022 and is based in Seattle, Washington.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"AI 100, Artificial Intelligence, Cybersecurity, Defense Tech, AI 100 (2024)",AI security (Enterprise Tech),697,3: Deploying,0.98%,16.40%,United States,108.50,"Acrew Capital, Aviso Ventures, BOLDstart Ventures, Dimitri Sirota, Knollwood Investment Advisory, Nir Polak, Pelion Venture Partners, Shlomo Kramer, Evolution Equity Partners, Salesforce Ventures, 01 Advisors, Knollwood Capital, Samsung Electronics, Stepstone Group",60.00,Series B,2024-08-01,,0%,Alive / Active,2022,,
HiddenLayer,hiddenlayer.com,"HiddenLayer specializes in providing security for artificial intelligence, operating within the cybersecurity and AI industries. The company offers a security platform that helps enterprises protect their machine learning models from adversarial attacks, without adding complexity or requiring access to sensitive data. HiddenLayer's solutions are designed to safeguard proprietary AI models, prevent data exposure, and ensure the integrity of model performance. It was founded in 2022 and is based in Leander, Texas.","B2B, B2G, Fee-for-service, SaaS",IT Services,Data Storage & Security,"AI 100, Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech",AI security (Enterprise Tech),839,3: Deploying,0.66%,4.36%,United States,56.00,"Ten Eleven Ventures, secure octane, Booz Allen Ventures, Capital One Ventures, IBM Ventures, M12, Moore Strategic Ventures",50.00,Series A,2023-09-26,127,92.42424%,Alive / Active,2022,,
DeepKeep,deepkeep.ai,"DeepKeep operates as an AI-native security within the artificial intelligence and machine learning industry. The company offers tools for attack detection, vulnerability assessment, and advanced hardening of machine learning systems throughout the AI development and deployment lifecycle. DeepKeep primarily serves sectors such as finance, insurance, security, automotive, and AI computing. It was founded in 2021 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI",AI security (Enterprise Tech),555,3: Deploying,0.52%,14.31%,Israel,16.00,"5G Open Innovation Lab, Awz Ventures",10.00,Seed VC,2024-05-01,23,15%,Alive / Active,2021,,
Chainguard,chainguard.dev,"Chainguard specializes in fortified software delivery within the cybersecurity sector. The company offers hardened container images designed to reduce attack surfaces and integrates tools for vulnerability remediation, compliance, and risk mitigation. Chainguard's solutions cater to the needs of developers and organizations aiming to secure their software supply chains and maintain open source software security. It was founded in 2021 and is based in Kirkland, Washington.","B2B, B2G, SaaS",Internet Software & Services,Supply Chain & Logistics,"Supply Chain & Logistics Tech, Unicorns- Billion Dollar Startups, Artificial Intelligence, Cybersecurity, Defense Tech","Container & kubernetes security (Enterprise Tech), Software supply chain security tools (Enterprise Tech), AI security (Enterprise Tech)",883,4: Scaling,2.10%,3.68%,United States,256.00,"Amplify Partners, Brandon Phillips, Eric Brewer, Gordon Chaffee, Joe Duffy, Maya Kaczorowski, Solomon Boulos, Stephen Augustus, Banana Capital, K5 Global Technology, K5 Ventures, LiveOak Venture Partners, MANTIS Venture Capital, Sequoia Capital, Spark Capital, Institutional Venture Partners, Lightspeed Venture Partners, Redpoint Ventures",140.00,Series C,2024-07-25,188,108.888885%,Alive / Active,2021,,
Exabeam,exabeam.com,"Exabeam operates as a cybersecurity company and specializes in artificial intelligence (AI) driven security operations for threat detection, investigation, and response. The company offers various products such as cloud-scale security log management, security information and event management (SIEM), and behavioral analytics. It was founded in 2013 and is based in Foster City, California.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,"Tech IPO Pipeline, Artificial Intelligence, Cybersecurity","Security information & event management (SIEM) (Enterprise Tech), Security orchestration automation & response (SOAR) (Enterprise Tech), User & entity behavior analytics (UEBA) (Enterprise Tech)",831,5: Established,2.91%,3.37%,United States,487.00,"Aspect Ventures, Norwest Venture Partners, Shlomo Kramer, Icon Ventures, Cisco Investments, Lightspeed Venture Partners, Sapphire Ventures, Acrew Capital, Artisanal Ventures, Owl Rock Capital Partners, Fabrica Ventures",297.00,Series F,2021-06-01,903,19.129288%,Alive / Active,2013,,
Operant,operant.ai,"Operant focuses on providing full-stack security for modern applications within the cloud computing industry. The company offers a range of services including runtime cloud-native application protection, AI security, and Kubernetes security, all designed to provide visibility and control over application security without the need for manual instrumentation. Operant primarily serves sectors that require robust cloud-native application security solutions, such as the ecommerce industry and tech companies with complex cloud infrastructures. It was founded in 2017 and is based in San Francisco, California.","B2B, SaaS",Internet Software & Services,Application & Data Integration,"Artificial Intelligence, Cybersecurity","Container & kubernetes security (Enterprise Tech), Web application & API protection (WAAP) (Enterprise Tech), Cloud-native application protection platforms (CNAPP) (Enterprise Tech), AI security (Enterprise Tech)",560,3: Deploying,0.64%,12.13%,United States,13.00,"Beat Ventures, The Fund, INV Fintech, BBQ Capital, Everywhere Ventures, Felicis, Surface Ventures, Alumni Ventures, Calm Ventures, Gaingels, Massive Capital Partners, SineWave Ventures",10.00,Series A,2024-09-12,21,5%,Alive / Active,2017,,
Patronus AI,patronus.ai,"Patronus AI specializes in automated AI evaluation and security within the artificial intelligence industry. The company offers a platform that scores Large Language Model (LLM) performance, generates adversarial test cases, benchmarks LLMs, and conducts retrieval-augmented generation analysis to ensure reliable AI model outputs. Patronus AI primarily serves enterprise development teams looking to deploy AI products with a degree of confidence and security. It was formerly known as Zeno AI. The company was founded in 2023 and is based in New York, New York.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech","AI security (Enterprise Tech), LLM benchmarking & model routing (Enterprise Tech)",783,3: Deploying,,,United States,20.00,"Amjad Masad, Factorial Capital, Gokul Rajaram, Lightspeed Venture Partners, Datadog, Notable Capital",17.00,Series A,2024-05-22,19,216.66667%,Alive / Active,2023,,
